Sector,Risk_Score,Momentum_Score,Quality_Score,Size_Score,Growth_Score,alpha,r_squared
industrials,7.215847549294183,40.629823484798415,18.821282754427408,15.539377101489968,17.793669109990024,100.0,0.11215694158058664
financial-services,15.625327801617564,41.09141884338853,9.016629449701915,9.593924701761162,24.672699203530833,100.0,-2.4464231740468603
technology,15.746417859377354,16.618985867863543,31.001661995852604,10.222491527287685,26.410442749618806,10.0,0.209425789303331
consumer-cyclical,4.8112098217468136,4.086903503878335,22.0149745818788,15.735192091136641,53.3517200013594,100.0,0.04632504288915151
healthcare,15.841721084569963,17.8514102169714,28.782440689547386,8.616227895182185,28.908200113729066,100.0,-3.2560145252155035
real-estate,9.364115594647643,14.060691463891729,30.749608271950347,11.723312919009258,34.10227175050104,100.0,0.3052167825607167
consumer-defensive,0.8653335822772973,41.434572650659454,16.33268632562212,27.659534387576706,13.707873053864434,10.0,0.3987129008970349
basic-materials,30.158224073390365,1.5872382237709906,29.51257025418189,10.290099372615758,28.45186807604098,100.0,-0.010535912872518649
communication-services,9.994627674367946,27.344987237503656,20.019646424193066,7.895267122598273,34.74547154133706,100.0,0.08732771589057875
utilities,40.57548402492153,15.68785636019417,37.26397094777719,2.096749772721492,4.375938894385617,100.0,0.11207971263652328
energy,9.553307195852048,11.666473731592633,13.667230168030853,5.68064461732347,59.43234428720099,100.0,-0.060690587832414655
