Sector,Risk_Score,Momentum_Score,Quality_Score
basic-materials,12.837168291013851,51.942836532916104,35.21999517607005
communication-services,39.48314695101308,59.576431455846844,0.9404215931400842
consumer-cyclical,19.428238810095273,69.39185614776886,11.17990504213587
consumer-defensive,21.860424288668607,71.97481406758034,6.164761643751047
energy,15.581350043835277,66.9830508310644,17.435599125100307
financial-services,7.938094270730504,26.760435972451607,65.3014697568179
healthcare,12.38885451998808,66.28733241711573,21.323813062896193
industrials,25.33601767934034,64.91010473780537,9.753877582854294
real-estate,11.142418306380595,10.957975953264388,77.899605740355
technology,1.0860429434446965,60.9083667736676,38.00559028288772
utilities,10.955109144905533,36.33182904648831,52.71306180860618
